trial,prompt,passed,total_calls,unnecessary_calls,expected_calls,true_positives,false_positives,false_negatives,precision,recall,f1_score
10,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",1,15,0,15,15,0,0,1.0,1.0,1.0
11,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",0,5,0,15,5,0,10,1.0,0.3333333333333333,0.5
12,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",0,12,0,15,12,0,3,1.0,0.8,0.888888888888889
13,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",0,7,0,15,7,0,8,1.0,0.4666666666666667,0.6363636363636364
14,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",0,6,0,15,6,0,9,1.0,0.4,0.5714285714285715
15,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",0,4,0,15,4,0,11,1.0,0.26666666666666666,0.4210526315789474
16,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",0,9,0,15,9,0,6,1.0,0.6,0.7499999999999999
17,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",0,9,0,15,9,0,6,1.0,0.6,0.7499999999999999
18,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",0,15,1,15,14,1,1,0.9333333333333333,0.9333333333333333,0.9333333333333333
19,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",0,20,18,15,2,18,13,0.1,0.13333333333333333,0.1142857142857143
20,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",0,5,0,15,5,0,10,1.0,0.3333333333333333,0.5
21,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",0,7,0,15,7,0,8,1.0,0.4666666666666667,0.6363636363636364
22,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",0,25,17,15,8,17,7,0.32,0.5333333333333333,0.4
23,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",1,16,1,15,15,1,0,0.9375,1.0,0.967741935483871
24,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",0,15,13,15,2,13,13,0.13333333333333333,0.13333333333333333,0.13333333333333333
